"o2region","full_name","long_code","count","area_km2"
"01-01","North Alaska","01-01_north_alaska",706,364
"01-02","Alaska Range (Wrangell/Kilbuck)","01-02_alaska_range_wrangell_kilbuck",5812,16284
"01-03","Alaska Peninsula (Aleutians)","01-03_alaska_peninsula_aleutians",872,1912
"01-04","West Chugach Mountains (Talkeetna)","01-04_west_chugach_mountains_talkeetna",4529,12005
"01-05","Saint Elias Mountains","01-05_saint_elias_mountains",5039,33178
"01-06","North Coast Ranges","01-06_north_coast_ranges",10551,22964
"02-01","Mackenzie and Selwyn Mountains","02-01_mackenzie_and_selwyn_mountains",1235,657
"02-02","South Coast Ranges","02-02_south_coast_ranges",7390,8806
"02-03","North Rocky Mountains","02-03_north_rocky_mountains",5063,4386
"02-04","Cascade Range and Sierra Nevada","02-04_cascade_range_and_sierra_nevada",3127,529
"02-05","South Rocky Mountains","02-05_south_rocky_mountains",1915,144
"03-01","North Ellesmere Island","03-01_north_ellesmere_island",2573,27690
"03-02","Axel Heiberg and Meighen Is","03-02_axel_heiberg_and_meighen_is",624,11852
"03-03","North Central Ellesmere Island","03-03_north_central_ellesmere_island",902,21336
"03-04","South Central Ellesmere Island","03-04_south_central_ellesmere_island",261,19322
"03-05","South Ellesmere Island (Northwest Devon)","03-05_south_ellesmere_island_northwest_devon",633,10042
"03-06","Devon Island","03-06_devon_island",216,15000
"03-07","Melville Island","03-07_melville_island",7,128
"04-01","Bylot Island","04-01_bylot_island",616,4883
"04-02","West Baffin Island","04-02_west_baffin_island",96,3767
"04-03","North Baffin Island","04-03_north_baffin_island",597,497
"04-04","Northeast Baffin Island","04-04_northeast_baffin_island",1953,8195
"04-05","East Central Baffin Island","04-05_east_central_baffin_island",1905,9431
"04-06","South East Baffin Island","04-06_south_east_baffin_island",3036,7603
"04-07","Cumberland Sound","04-07_cumberland_sound",2620,5907
"04-08","Frobisher Bay","04-08_frobisher_bay",83,235
"04-09","Labrador","04-09_labrador",103,20
"05-01","Greenland Periphery","05-01_greenland_periphery",19994,90482
"06-01","Iceland","06-01_iceland",568,11060
"07-01","Svalbard","07-01_svalbard",1583,33841
"07-02","Jan Mayen","07-02_jan_mayen",83,117
"08-01","North Scandinavia","08-01_north_scandinavia",1832,1430
"08-02","Southwest Scandinavia","08-02_southwest_scandinavia",1216,1216
"08-03","Southeast Scandinavia","08-03_southeast_scandinavia",362,302
"09-01","Franz Josef Land","09-01_franz_josef_land",412,12762
"09-02","Novaya Zemlya","09-02_novaya_zemlya",480,22132
"09-03","Severnaya Zemlya","09-03_severnaya_zemlya",177,16701
"10-01","Ural Mountains","10-01_ural_mountains",161,15
"10-02","Central Siberia","10-02_central_siberia",394,64
"10-03","Cherskiy/Suntar Khayata Ranges","10-03_cherskiy_suntar_khayata_ranges",427,271
"10-04","Altay and Sayan","10-04_altay_and_sayan",3033,1247
"10-05","Northeast Russia","10-05_northeast_russia",3091,1041
"10-06","East Chukotka","10-06_east_chukotka",44,4
"10-07","Japan","10-07_japan",5,0
"11-01","Alps","11-01_alps",4034,2120
"11-02","Southeast Europe","11-02_southeast_europe",45,4
